"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
3399	"SRX433130"	"mm9"	"TFs and others"	"Sox2"	"Pluripotent stem cell"	"Embryonic stem cells (ES-D3 cell line)"	"None"	"None"	"129S2/SvPas"	0.9855	0.2609
3400	"SRX4347877"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Ear dermal cells"	"None"	"In(15)4H +/-"	"(CD-1 x C3H/HeH)F1"	0.9912	0.6924
3401	"SRX4347878"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Ear dermal cells"	"None"	"In(15)4H +/-"	"(CD-1 x C3H/HeH)F1"	0.9762	0.5772
3402	"SRX4347879"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Ear dermal cells"	"None"	"In(15)4H +/-"	"(CD-1 x C3H/HeH)F1"	0.9767	0.5702
3403	"SRX4347883"	"mm9"	"TFs and others"	"Ctcf"	"Epidermis"	"Dorsal dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9918	0.7188
3404	"SRX4347884"	"mm9"	"TFs and others"	"Ctcf"	"Epidermis"	"Dorsal dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9924	0.721
3405	"SRX4347885"	"mm9"	"TFs and others"	"Ctcf"	"Epidermis"	"Dorsal dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9936	0.7346
3406	"SRX4347886"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Dorsal dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9757	0.5794
3407	"SRX4347887"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Dorsal dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9853	0.7142
3408	"SRX4347892"	"mm9"	"TFs and others"	"Ctcf"	"Epidermis"	"Ear dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9919	0.7079
3409	"SRX4347893"	"mm9"	"TFs and others"	"Ctcf"	"Epidermis"	"Ear dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9902	0.6812
3410	"SRX4347894"	"mm9"	"TFs and others"	"Ctcf"	"Epidermis"	"Ear dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9899	0.6771
3411	"SRX4347895"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Ear dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9841	0.6143
3412	"SRX4347896"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Ear dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9926	0.8023
3413	"SRX4347897"	"mm9"	"Histone"	"H3K27ac"	"Epidermis"	"Ear dermal cells"	"None"	"None"	"(CD-1 x C3H/HeH)F1"	0.9901	0.7931
3414	"SRX4348308"	"mm9"	"TFs and others"	"Satb1"	"Blood"	"Thymocytes"	"None"	"None"	"C57BL/6"	0.9695	0.2938
3415	"SRX4348309"	"mm9"	"TFs and others"	"Satb1"	"Blood"	"Thymocytes"	"None"	"None"	"C57BL/6"	0.9721	0.3326
3416	"SRX4348310"	"mm9"	"TFs and others"	"Satb1"	"Blood"	"Thymocytes"	"None"	"Il2ra -/-"	"C57BL/6"	0.9594	0.2931
3417	"SRX4348311"	"mm9"	"TFs and others"	"Satb1"	"Blood"	"Thymocytes"	"None"	"Il2ra -/-"	"C57BL/6"	0.9607	0.2981
3418	"SRX4349669"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9766	0.1835
3419	"SRX437454"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6J"	0.9990000000000001	0.5575
3420	"SRX437455"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6J"	0.9965	0.7698
3421	"SRX437457"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6J"	0.9873	0.4262
3422	"SRX4384393"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.9668	0.4252
3423	"SRX4384394"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.9596	0.27699999999999997
3424	"SRX4384396"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.9628	0.4375
3425	"SRX4384397"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.9595	0.2563
3426	"SRX4384399"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.965	0.4314
3427	"SRX4384400"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.9598	0.2955
3428	"SRX4384402"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.9626	0.2987
3429	"SRX4384406"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"Hdac3 -/-"	"(CAST/EiJ x C57BL/6J)F1"	0.9518	0.1904
3430	"SRX4384411"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9917	0.7104
3431	"SRX4384412"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9611	0.4102
3432	"SRX4384413"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9643	0.4033
3433	"SRX4384414"	"mm9"	"Histone"	"H3K4me1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.937	0.3088
3434	"SRX4384415"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9847	0.7225
3435	"SRX4384417"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9946	0.5178
3436	"SRX4384419"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9883	0.6811
3437	"SRX4384420"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9621	0.4316
3438	"SRX4384421"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9652	0.3926
3439	"SRX4384422"	"mm9"	"Histone"	"H3K4me1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9385	0.2957
3440	"SRX4384423"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9798	0.6893
3441	"SRX4384424"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9777	0.2338
3442	"SRX4384425"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9942	0.5511
3443	"SRX4384427"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9912	0.7018
3444	"SRX4384428"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9644	0.4122
3445	"SRX4384429"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9593	0.4204
3446	"SRX4384430"	"mm9"	"Histone"	"H3K4me1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9379	0.2949
3447	"SRX4384431"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9846	0.72
3448	"SRX4384432"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9766	0.2005
3449	"SRX4384433"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9938	0.4926
3450	"SRX4384435"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9875	0.669
3451	"SRX4384436"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9624	0.4197
3452	"SRX4384437"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9645	0.3547
3453	"SRX4384439"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9823	0.6953
3454	"SRX4384440"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9722	0.2413
3455	"SRX4384441"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9947	0.5417
3456	"SRX4384443"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.991	0.6965
3457	"SRX4384444"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9683	0.4089
3458	"SRX4384445"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9568	0.4305
3459	"SRX4384447"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9852	0.7282
3460	"SRX4384449"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9933	0.518
3461	"SRX4384451"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9883	0.6686
3462	"SRX4384452"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9646	0.4134
3463	"SRX4384453"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9669	0.3366
3464	"SRX4384454"	"mm9"	"Histone"	"H3K4me1"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9402	0.2795
3465	"SRX4384455"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9806	0.6901
3466	"SRX4384456"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9777	0.2482
3467	"SRX4384457"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9940000000000001	0.503
3468	"SRX4384459"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9915	0.6916
3469	"SRX4384460"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9642	0.4102
3470	"SRX4384461"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9568	0.4237
3471	"SRX4384463"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9846	0.7318
3472	"SRX4384464"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9725	0.2066
3473	"SRX4384465"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9929	0.3559
3474	"SRX4384467"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9893	0.6789
3475	"SRX4384468"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9613	0.4347
3476	"SRX4384469"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9643	0.3531
3477	"SRX4384471"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9869	0.7264
3478	"SRX4384473"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9943	0.4731
3479	"SRX4384475"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9921	0.7031
3480	"SRX4384476"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9679	0.3956
3481	"SRX4384477"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9641	0.3803
3482	"SRX4384479"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9863	0.7418
3483	"SRX4384480"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9764	0.1845
3484	"SRX4384483"	"mm9"	"Histone"	"H3K9ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9877	0.6675
3485	"SRX4384484"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.963	0.4272
3486	"SRX4384485"	"mm9"	"Histone"	"H4ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9664	0.3335
3487	"SRX4384487"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9822	0.703
3488	"SRX4384488"	"mm9"	"Histone"	"H3K27me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9782	0.1881
3489	"SRX4384489"	"mm9"	"Histone"	"H2AK119Ub"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"(CAST/EiJ x C57BL/6J)F1"	0.9952	0.5633
3490	"SRX4394630"	"mm9"	"TFs and others"	"Dppa2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9919	0.6334
3491	"SRX4394631"	"mm9"	"TFs and others"	"Dppa4"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9959	0.7263
3492	"SRX4394632"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9958	0.589
3493	"SRX4394634"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129"	0.9975	0.8796
3494	"SRX4394641"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9986	0.8814
3495	"SRX4394644"	"mm9"	"TFs and others"	"Dppa2"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9944	0.6324
3496	"SRX4394646"	"mm9"	"Histone"	"H3K27ac"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9937	0.6618
3497	"SRX4394649"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"iPS cells"	"None"	"None"	"C57BL/6 x 129S4/SvJae"	0.9979	0.8851
3498	"SRX4395338"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Embryonic brains"	"None"	"None"	"((129P2/OlaHsd x FVB/N)F2 x C57BL6/J)F1"	0.9969	0.8211
3499	"SRX4395340"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic brains"	"None"	"None"	"((129P2/OlaHsd x FVB/N)F2 x C57BL6/J)F1"	0.9942	0.4592
3500	"SRX4395343"	"mm9"	"Histone"	"H3K4me3"	"Embryo"	"Embryonic brains"	"None"	"None"	"((129P2/OlaHsd x FVB/N)F2 x C57BL6/J)F1"	0.9928	0.7045
3501	"SRX4395349"	"mm9"	"Histone"	"H3K27ac"	"Embryo"	"Embryonic brains"	"None"	"None"	"((129P2/OlaHsd x FVB/N)F2 x C57BL6/J)F1"	0.9931	0.5008
3502	"SRX4397668"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9599	0.5592
3503	"SRX4397669"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9823	0.6193
3504	"SRX4397670"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9589	0.5526
3505	"SRX4397671"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.983	0.5894
3506	"SRX4397672"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9419	0.4984
3507	"SRX4397673"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9695	0.53
3508	"SRX4397674"	"mm9"	"Histone"	"H3K4me1"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9402	0.3643
3509	"SRX4397676"	"mm9"	"Histone"	"H3K4me1"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.946	0.3321
3510	"SRX4397678"	"mm9"	"Histone"	"H3K4me1"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9452	0.3604
3511	"SRX4397687"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9714	0.5679
3512	"SRX4397688"	"mm9"	"Histone"	"H3K27ac"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6"	0.9737	0.5820000000000001
3513	"SRX4401437"	"mm9"	"TFs and others"	"Mta2"	"Pluripotent stem cell"	"Embryonic stem cells (ES-E14TG2a cell line)"	"None"	"None"	"129P2/Ola"	0.9845	0.3034
3514	"SRX4413717"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9759	0.5574
3515	"SRX4413718"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9701	0.5636
3516	"SRX4413719"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"None"	"None"	"C57BL/6"	0.9752	0.5542
3517	"SRX4413720"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"A51 (Casein Kinase 1 alpha inhibitor)"	"None"	"C57BL/6"	0.9591	0.5718
3518	"SRX4413721"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"A51 (Casein Kinase 1 alpha inhibitor)"	"None"	"C57BL/6"	0.9509	0.5366
3519	"SRX4413722"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Leukemia"	"A51 (Casein Kinase 1 alpha inhibitor)"	"None"	"C57BL/6"	0.9556	0.5297
3520	"SRX4413725"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9686	0.5167
3521	"SRX4413726"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9599	0.5004
3522	"SRX4413727"	"mm9"	"Histone"	"H3K27ac"	"Blood"	"Bone marrow cells"	"None"	"None"	"C57BL/6"	0.9636	0.5138
3523	"SRX4413731"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"Leukemia"	"A51 (Casein Kinase 1 alpha inhibitor)"	"None"	"C57BL/6"	0.9964	0.7207
3524	"SRX4413732"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"Leukemia"	"A51 (Casein Kinase 1 alpha inhibitor)"	"None"	"C57BL/6"	0.9968	0.6711
3525	"SRX4413733"	"mm9"	"RNA polymerase"	"RNA polymerase II"	"Blood"	"Leukemia"	"A51 (Casein Kinase 1 alpha inhibitor)"	"None"	"C57BL/6"	0.9952	0.6971
3526	"SRX4416870"	"mm9"	"TFs and others"	"Rela"	"Liver"	"Liver"	"Lipopolysaccharide"	"None"	"C57BL/6"	0.9754	0.087
3527	"SRX4416874"	"mm9"	"TFs and others"	"Arntl"	"Liver"	"Liver"	"Lipopolysaccharide"	"None"	"C57BL/6"	0.9824	0.1113
3528	"SRX4416878"	"mm9"	"TFs and others"	"Clock"	"Liver"	"Liver"	"Lipopolysaccharide"	"None"	"C57BL/6"	0.9804	0.2006
3529	"SRX4416880"	"mm9"	"TFs and others"	"Clock"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9834	0.1051
3530	"SRX4416884"	"mm9"	"Histone"	"H3K27ac"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9568	0.4181
3531	"SRX4416894"	"mm9"	"TFs and others"	"Clock"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9821	0.2013
3532	"SRX4416896"	"mm9"	"TFs and others"	"Clock"	"Liver"	"Liver"	"High-fat diet"	"None"	"C57BL/6"	0.9764	0.1709
3533	"SRX445033"	"mm9"	"TFs and others"	"Insm1"	"Pancreas"	"Pancreatic beta cells"	"None"	"None"	"B6.D2-Tg(RIP1-Tag)2Dh/Nci"	0.9296	0.3748
3534	"SRX445034"	"mm9"	"TFs and others"	"Neurod1"	"Pancreas"	"Pancreatic beta cells"	"None"	"None"	"B6.D2-Tg(RIP1-Tag)2Dh/Nci"	0.9292	0.2149
3535	"SRX445035"	"mm9"	"TFs and others"	"Foxa2"	"Pancreas"	"Pancreatic beta cells"	"None"	"None"	"B6.D2-Tg(RIP1-Tag)2Dh/Nci"	0.8731	0.1241
3536	"SRX4497835"	"mm9"	"TFs and others"	"Hnf4a"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9817	0.1304
3537	"SRX4497836"	"mm9"	"TFs and others"	"Hnf4a"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9722	0.1266
3538	"SRX4497837"	"mm9"	"TFs and others"	"Hnf4a"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9705	0.1688
3539	"SRX451032"	"mm9"	"TFs and others"	"Crebbp"	"Embryonic fibroblast"	"MEF"	"2,2'-Bipyridine (2 hours)"	"None"	"C57BL/6J x 129/Sv"	0.9866	0.0995
3540	"SRX451033"	"mm9"	"TFs and others"	"Crebbp"	"Embryonic fibroblast"	"MEF"	"2,2'-Bipyridine (2 hours)"	"None"	"C57BL/6J x 129/Sv"	0.9855	0.35
3541	"SRX451037"	"mm9"	"TFs and others"	"Crebbp"	"Embryonic fibroblast"	"MEF"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9717	0.1801
3542	"SRX4510528"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6JRj"	0.9933	0.5594
3543	"SRX4510529"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6JRj"	0.9934	0.4634
3544	"SRX4510530"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"CD8+ T cells"	"None"	"None"	"C57BL/6JRj"	0.9932	0.5697
3545	"SRX4557396"	"mm9"	"Histone"	"H3K4me3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"129P2/Ola"	0.99	0.7488
3546	"SRX4603790"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9864	0.7506
3547	"SRX4603795"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"None"	"C57BL/6"	0.9789	0.6827
3548	"SRX4632659"	"mm9"	"TFs and others"	"Tbr1"	"Neural"	"Cortex"	"None"	"None"	"CD-1"	0.8932	0.0346
3549	"SRX4632662"	"mm9"	"TFs and others"	"Tbr1"	"Neural"	"Cortex"	"None"	"None"	"CD-1"	0.8998	0.0482
